Time,Time Code,Country Name,Country Code,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Gross value added at basic prices (GVA) (constant 2015 US$) [NY.GDP.FCST.KD],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]"
2013,YR2013,India,IND,..,4780.12034494608,1659237035185.23,54.09
2013,YR2013,South Africa,ZAF,..,14017.4110148759,304060133904.915,57.25
2013,YR2013,Mexico,MEX,..,18844.0303377488,1041768517322.13,64.63
2014,YR2014,Brazil,BRA,3.3,15695.6431041785,1600074768714.26,69.47
2014,YR2014,Russian Federation,RUS,0,26057.15625,1242726383149,73.43
2014,YR2014,India,IND,..,5071.04708421309,1777951805326.59,53.68
2014,YR2014,South Africa,ZAF,20.5,13993.270144214,308728490333.078,57.64
2014,YR2014,Mexico,MEX,3.7,19141.920663054,1070041930898.83,64.03
2015,YR2015,Brazil,BRA,3.9,15011.5771943528,1549671165349.12,69.8
2015,YR2015,Russian Federation,RUS,0,25488.095703125,1224537645119.52,73.68
2015,YR2015,India,IND,18.7,5411.87558832619,1920694478443.83,53.29
2015,YR2015,South Africa,ZAF,..,13887.2112157145,312277563208.294,59.09
2015,YR2015,Mexico,MEX,..,19542.8898869992,1104157181527.36,64.14
2016,YR2016,Brazil,BRA,4.7,14402.4940082453,1504728425875.7,69.74
2016,YR2016,Russian Federation,RUS,0,25490.708984375,1228372260165.45,74.24
2016,YR2016,India,IND,18.1,5789.67806579605,2073812676817.92,52.9
2016,YR2016,South Africa,ZAF,..,13844.2759626997,314856864701.113,59.34
2016,YR2016,Mexico,MEX,3.2,19830.9624860394,1131005317910.86,64.16
2017,YR2017,Brazil,BRA,5.3,14477.86176806,1523600894279.8,70.17
2017,YR2017,Russian Federation,RUS,0,25926.443359375,1251035364293.3,74.15
2017,YR2017,India,IND,13.4,6112.06664986172,2203035692859.77,52.52
2017,YR2017,South Africa,ZAF,..,13950.4534760766,318511380018.921,60.1
