Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Proportion of people living below 50 percent of median income (%) [SI.DST.50MD]
2017,YR2017,South Africa,ZAF,13950.4534760766,..,60.1,..
2018,YR2018,Brazil,BRA,14619.5911298271,5.3,70.31,23.5
2018,YR2018,China,CHN,15133.9956182401,0.4,76.02,..
2018,YR2018,India,IND,6436.15340234422,11.1,52.15,..
2018,YR2018,Russian Federation,RUS,26656.41015625,0,74.43,10.8
2018,YR2018,South Africa,ZAF,13990.3148928604,..,59.96,..
2019,YR2019,Brazil,BRA,14685.1278924673,5.4,70.93,24.1
2019,YR2019,China,CHN,15977.763827981,0.1,75.88,..
2019,YR2019,India,IND,6608.62407769303,10,52.13,..
2019,YR2019,Russian Federation,RUS,27254.57421875,0,73.96,10.9
2019,YR2019,South Africa,ZAF,13852.2059686427,..,60.13,..
2020,YR2020,Brazil,BRA,14021.9576230488,1.9,..,18.3
2020,YR2020,China,CHN,16296.7788985733,..,..,..
2020,YR2020,India,IND,6114.03158047243,..,..,..
2020,YR2020,Russian Federation,RUS,26583.796875,0,..,9.8
2020,YR2020,South Africa,ZAF,12815.9095906516,..,..,..
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 03/01/2023,,,,,,,
